Topic,Subtopic,Key,Value,Success,Failure,Bookmarked
English,Prepositions,Cautious,about,2,0,False
English,Prepositions,Certainty,about,2,0,False
English,Prepositions,Certainty,of,1,0,False
English,Prepositions,Complacent,about,1,0,False
English,Prepositions,Confer,about,0,1,False
English,Prepositions,Confer,on,0,0,False
English,Prepositions,Confer,with,0,0,False
English,Prepositions,Consult,about,0,0,False
English,Prepositions,Consult,with,0,0,False
English,Prepositions,Caution,against,0,0,False
English,Prepositions,Charge,against,0,0,False
English,Prepositions,Charge,on,0,0,False
English,Prepositions,Charge,to,0,0,False
English,Prepositions,Complain,against,0,0,False
English,Prepositions,Conspire,against,0,0,False
English,Prepositions,Conspire,with,0,0,False
English,Prepositions,Catch,at,0,0,False
English,Prepositions,Connive,at,0,0,False
English,Prepositions,Connection,between,0,0,False
English,Prepositions,Call,for,0,0,False
English,Prepositions,Call,in,0,0,False
English,Prepositions,Call,on,0,0,False
English,Prepositions,Capacity,for,0,0,False
English,Prepositions,Care,for,0,0,False
English,Prepositions,Care,of,0,0,False
English,Prepositions,Careful,of,0,0,False
English,Prepositions,Careless,of,0,0,False
English,Prepositions,Cause,for,0,0,False
English,Prepositions,Cause,of,0,0,False
English,Prepositions,Compassion,for,0,0,False
English,Prepositions,Compensate,for,0,0,False
English,Prepositions,Compete,for,0,0,False
English,Prepositions,Compete,with,0,0,False
English,Prepositions,Competent,for,0,0,False
English,Prepositions,Concerned,for,0,0,False
English,Prepositions,Consideration,for,0,0,False
English,Prepositions,Contempt,for,0,0,False
English,Prepositions,Count,for,0,0,False
English,Prepositions,Count,upon,0,0,False
English,Prepositions,Crave,for,0,0,False
English,Prepositions,Cure,for,0,0,False
English,Prepositions,Cure,of,0,0,False
English,Prepositions,Conceal,from,0,0,False
English,Prepositions,Conclusion,from,0,0,False
English,Prepositions,Conclusion,of,0,0,False
English,Prepositions,Conclusion,to,0,0,False
English,Prepositions,Clothed,in,0,0,False
English,Prepositions,Commence,in,0,0,False
English,Prepositions,Confined,in,0,0,False
English,Prepositions,Confined,to,0,0,False
English,Prepositions,Consist,in,0,0,False
English,Prepositions,Consist,of,0,0,False
English,Prepositions,Confidence,in,0,0,False
English,Prepositions,Confide,in,0,0,False
English,Prepositions,Combine,into,0,0,False
English,Prepositions,Certain,of,0,0,False
English,Prepositions,Certificate,of,0,0,False
English,Prepositions,Characteristic,of,0,0,False
English,Prepositions,Cheat,of,0,0,False
English,Prepositions,Composed,of,0,0,False
English,Prepositions,Conceive,of,0,0,False
English,Prepositions,Confident,of,0,0,False
English,Prepositions,Conscious,of,0,0,False
English,Prepositions,Contemporary,of,0,0,False
English,Prepositions,Convict,of,0,0,False
English,Prepositions,Convince,of,0,0,False
English,Prepositions,Covetous,of,0,0,False
English,Prepositions,Commend,on,0,0,False
English,Prepositions,Comment,on,0,0,False
English,Prepositions,Compliment,on,0,0,False
English,Prepositions,Condole,on,0,0,False
English,Prepositions,Condole,with,0,0,False
English,Prepositions,Congratulate,on,0,0,False
English,Prepositions,Concentrate,on,0,0,False
English,Prepositions,Converge,on,0,0,False
English,Prepositions,Control,over,0,0,False
English,Prepositions,Callous,to,0,0,False
English,Prepositions,Certify,to,0,0,False
English,Prepositions,Close,to,0,0,False
English,Prepositions,Commit,to,0,0,False
English,Prepositions,Common,to,0,0,False
English,Prepositions,Communicate,to,0,0,False
English,Prepositions,Communicate,with,0,0,False
English,Prepositions,Compare,to,0,0,False
English,Prepositions,Compare,with,0,0,False
English,Prepositions,Condemn,to,0,0,False
English,Prepositions,Conducive,to,0,0,False
English,Prepositions,Conform,to,0,0,False
English,Prepositions,Conform,with,0,0,False
English,Prepositions,Conformity,with,0,0,False
English,Prepositions,Congenial,to,0,0,False
English,Prepositions,Consent,to,0,0,False
English,Prepositions,Contribute,to,0,0,False
English,Prepositions,Convenient,to,0,0,False
English,Prepositions,Convert,to,0,0,False
English,Prepositions,Contiguous,to,0,0,False
English,Prepositions,Contrary,to,0,0,False
English,Prepositions,Contrast,to,0,0,False
English,Prepositions,Credit,to,0,0,False
English,Prepositions,Clue,to,0,0,False
English,Prepositions,Claim,upon,0,0,False
English,Prepositions,Co-operate,with,0,0,False
English,Prepositions,Coincide,with,0,0,False
English,Prepositions,Collaborate,with,0,0,False
English,Prepositions,Comply,with,0,0,False
English,Prepositions,Compromise,with,0,0,False
English,Prepositions,Concur,with,0,0,False
English,Prepositions,Confuse,with,0,0,False
English,Prepositions,Connected,with,0,0,False
English,Prepositions,Contend,with,0,0,False
English,Prepositions,Content,with,0,0,False
English,Prepositions,Conversant,with,0,0,False
English,Prepositions,Converse,with,0,0,False
English,Prepositions,Cope,with,0,0,False
English,Prepositions,Correspond,with,0,0,False
English,Prepositions,Abide,by,0,0,False
English,Prepositions,Abide,in,0,0,False
English,Prepositions,Abide,with,0,0,False
English,Prepositions,Abhorrence,of,0,0,False
English,Prepositions,Abhorrent,to,0,0,False
English,Prepositions,Absent,from,0,0,False
English,Prepositions,Absence,from,0,0,False
English,Prepositions,Absolve,from,0,0,False
English,Prepositions,Absolve,of,0,0,False
English,Prepositions,Absorbed,in,0,0,False
English,Prepositions,Abstain,from,0,0,False
English,Prepositions,Abound,in,0,0,False
English,Prepositions,Abound,with,0,0,False
English,Prepositions,Accede,to,0,0,False
English,Prepositions,Acceptable,to,0,0,False
English,Prepositions,Access,to,0,0,False
English,Prepositions,Accessible,to,0,0,False
English,Prepositions,Accompanied,with/by,0,0,False
English,Prepositions,Acclimatize,to,0,0,False
English,Prepositions,Accommodate,to,0,0,False
English,Prepositions,Accommodate,with,0,0,False
English,Prepositions,Accomplished,in,0,0,False
English,Prepositions,Accord,to,0,0,False
English,Prepositions,According,to,0,0,False
English,Prepositions,Account,for,0,0,False
English,Prepositions,Account,to,0,0,False
English,Prepositions,Accountable,to,0,0,False
English,Prepositions,Accuse,of,0,0,False
English,Prepositions,Accustomed,to,0,0,False
English,Prepositions,Acquiesce,in,0,0,False
English,Prepositions,Acquainted,with,0,0,False
English,Prepositions,Acquit,of,0,0,False
English,Prepositions,Adapt,to,0,0,False
English,Prepositions,Adapted,from,0,0,False
English,Prepositions,Add,to,0,0,False
English,Prepositions,Addicted,to,0,0,False
English,Prepositions,Addition,to,0,0,False
English,Prepositions,Adequate,for,0,0,False
English,Prepositions,Adequate,to,0,0,False
English,Prepositions,Adept,in,0,0,False
English,Prepositions,Adhere,to,0,0,False
English,Prepositions,Adjacent,to,0,0,False
English,Prepositions,Admit,into,0,0,False
English,Prepositions,Admit,of,0,0,False
English,Prepositions,Admit,to,0,0,False
English,Prepositions,Adorn,with,0,0,False
English,Prepositions,Advantageous,to,0,0,False
English,Prepositions,Adverse,to,0,0,False
English,Prepositions,Affectionate,to,0,0,False
English,Prepositions,Affinity,with,0,0,False
English,Prepositions,Affix,to,0,0,False
English,Prepositions,Afflicted,with,0,0,False
English,Prepositions,Afraid,of,0,0,False
English,Prepositions,Agog,with,0,0,False
English,Prepositions,Agree,on,0,0,False
English,Prepositions,Agree,to,0,0,False
English,Prepositions,Agree,with,0,0,False
English,Prepositions,Agreeable,to,0,0,False
English,Prepositions,Ahead,of,0,0,False
English,Prepositions,Aim,at,0,0,False
English,Prepositions,Akin,to,0,0,False
English,Prepositions,Alarmed,at,0,0,False
English,Prepositions,Alien,to,0,0,False
English,Prepositions,Align,with,0,0,False
English,Prepositions,Alive,to,0,0,False
English,Prepositions,Alive,with,0,0,False
English,Prepositions,Allegiance,to,0,0,False
English,Prepositions,Alliance,with,0,0,False
English,Prepositions,Allied,with,0,0,False
English,Prepositions,Allocate,to,0,0,False
English,Prepositions,Allot,to,0,0,False
English,Prepositions,Allude,to,0,0,False
English,Prepositions,Aloof,from,0,0,False
English,Prepositions,Alternate,with,0,0,False
English,Prepositions,Alternative,to,0,0,False
English,Prepositions,Amazed,at,0,0,False
English,Prepositions,Ambition,of,0,0,False
English,Prepositions,Ambitious,for,0,0,False
English,Prepositions,Amenable,to,0,0,False
English,Prepositions,Amount,to,0,0,False
English,Prepositions,Amused,at/by,0,0,False
English,Prepositions,Angry,at,0,0,False
English,Prepositions,Angry,for,0,0,False
English,Prepositions,Angry,with,0,0,False
English,Prepositions,Annoyed,at,0,0,False
English,Prepositions,Annoyed,for,0,0,False
English,Prepositions,Annoyed,with,0,0,False
English,Prepositions,Answer,for,0,0,False
English,Prepositions,Answer,to,0,0,False
English,Prepositions,Antecedent,of,0,0,False
English,Prepositions,Antecedent,to,0,0,False
English,Prepositions,Antidote,to,0,0,False
English,Prepositions,Antipathy,to,0,0,False
